<repo>\reproduction\src\modern_gpu.py:98: UserWarning: Sparse invariant checks are implicitly disabled. Memory errors (e.g. SEGFAULT) will occur when operating on a sparse tensor which violates the invariants, but checks incur performance overhead. To silence this warning, explicitly opt in or out. See `torch.sparse.check_sparse_tensor_invariants.__doc__` for guidance.  (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\aten\src\ATen\Context.cpp:855.)
  self.kernel = torch.sparse_coo_tensor(
2026-09-22 19:50:19,485 Actual-data GPU equivalence checks passed: max error 0.00146484375
2026-09-22 19:50:20,730 Seed 0 | epoch 1/100 | train 1.052893 | val 1.032080 | elapsed 0.4s
2026-09-22 19:50:21,188 Seed 0 | epoch 2/100 | train 1.040660 | val 1.049021 | elapsed 0.9s
2026-09-22 19:50:21,655 Seed 0 | epoch 3/100 | train 1.041175 | val 1.047071 | elapsed 1.4s
2026-09-22 19:50:22,096 Seed 0 | epoch 4/100 | train 1.041104 | val 1.044833 | elapsed 1.8s
2026-09-22 19:50:22,566 Seed 0 | epoch 5/100 | train 1.029969 | val 1.031317 | elapsed 2.3s
2026-09-22 19:50:23,002 Seed 0 | epoch 6/100 | train 1.037359 | val 1.040987 | elapsed 2.7s
2026-09-22 19:50:23,467 Seed 0 | epoch 7/100 | train 1.035351 | val 1.030079 | elapsed 3.2s
2026-09-22 19:50:23,911 Seed 0 | epoch 8/100 | train 1.032457 | val 1.032314 | elapsed 3.6s
2026-09-22 19:50:24,371 Seed 0 | epoch 9/100 | train 1.033388 | val 1.047311 | elapsed 4.1s
2026-09-22 19:50:24,824 Seed 0 | epoch 10/100 | train 1.039309 | val 1.027563 | elapsed 4.5s
2026-09-22 19:50:25,276 Seed 0 | epoch 11/100 | train 1.034478 | val 1.029653 | elapsed 5.0s
2026-09-22 19:50:25,728 Seed 0 | epoch 12/100 | train 1.034526 | val 1.039390 | elapsed 5.4s
2026-09-22 19:50:26,177 Seed 0 | epoch 13/100 | train 1.036335 | val 1.039859 | elapsed 5.9s
2026-09-22 19:50:26,630 Seed 0 | epoch 14/100 | train 1.034176 | val 1.035908 | elapsed 6.3s
2026-09-22 19:50:27,074 Seed 0 | epoch 15/100 | train 1.029700 | val 1.043395 | elapsed 6.8s
2026-09-22 19:50:27,532 Seed 0 | epoch 16/100 | train 1.030324 | val 1.040610 | elapsed 7.3s
2026-09-22 19:50:27,984 Seed 0 | epoch 17/100 | train 1.034270 | val 1.037268 | elapsed 7.7s
2026-09-22 19:50:28,436 Seed 0 | epoch 18/100 | train 1.030147 | val 1.037006 | elapsed 8.2s
2026-09-22 19:50:28,885 Seed 0 | epoch 19/100 | train 1.035686 | val 1.041975 | elapsed 8.6s
2026-09-22 19:50:29,335 Seed 0 | epoch 20/100 | train 1.030707 | val 1.033708 | elapsed 9.1s
2026-09-22 19:50:29,784 Seed 0 | epoch 21/100 | train 1.033052 | val 1.032310 | elapsed 9.5s
2026-09-22 19:50:30,229 Seed 0 | epoch 22/100 | train 1.031663 | val 1.030814 | elapsed 9.9s
2026-09-22 19:50:30,684 Seed 0 | epoch 23/100 | train 1.030791 | val 1.016957 | elapsed 10.4s
2026-09-22 19:50:31,134 Seed 0 | epoch 24/100 | train 1.033171 | val 1.035562 | elapsed 10.9s
2026-09-22 19:50:31,586 Seed 0 | epoch 25/100 | train 1.040221 | val 1.035989 | elapsed 11.3s
2026-09-22 19:50:32,042 Seed 0 | epoch 26/100 | train 1.032973 | val 1.036150 | elapsed 11.8s
2026-09-22 19:50:32,497 Seed 0 | epoch 27/100 | train 1.031530 | val 1.028748 | elapsed 12.2s
2026-09-22 19:50:32,950 Seed 0 | epoch 28/100 | train 1.032484 | val 1.023829 | elapsed 12.7s
2026-09-22 19:50:33,400 Seed 0 | epoch 29/100 | train 1.034626 | val 1.037484 | elapsed 13.1s
2026-09-22 19:50:33,850 Seed 0 | epoch 30/100 | train 1.032639 | val 1.020725 | elapsed 13.6s
2026-09-22 19:50:34,297 Seed 0 | epoch 31/100 | train 1.030579 | val 1.038438 | elapsed 14.0s
2026-09-22 19:50:34,744 Seed 0 | epoch 32/100 | train 1.024473 | val 1.024135 | elapsed 14.5s
2026-09-22 19:50:35,188 Seed 0 | epoch 33/100 | train 1.034454 | val 1.026632 | elapsed 14.9s
2026-09-22 19:50:35,636 Seed 0 | epoch 34/100 | train 1.033503 | val 1.037414 | elapsed 15.4s
2026-09-22 19:50:36,090 Seed 0 | epoch 35/100 | train 1.032130 | val 1.036983 | elapsed 15.8s
2026-09-22 19:50:36,537 Seed 0 | epoch 36/100 | train 1.032344 | val 1.027217 | elapsed 16.3s
2026-09-22 19:50:36,985 Seed 0 | epoch 37/100 | train 1.026470 | val 1.041772 | elapsed 16.7s
2026-09-22 19:50:37,426 Seed 0 | epoch 38/100 | train 1.028873 | val 1.034701 | elapsed 17.1s
2026-09-22 19:50:37,873 Seed 0 | epoch 39/100 | train 1.036867 | val 1.039843 | elapsed 17.6s
2026-09-22 19:50:38,318 Seed 0 | epoch 40/100 | train 1.032235 | val 1.025846 | elapsed 18.0s
2026-09-22 19:50:38,757 Seed 0 | epoch 41/100 | train 1.031955 | val 1.050594 | elapsed 18.5s
2026-09-22 19:50:39,202 Seed 0 | epoch 42/100 | train 1.026705 | val 1.031933 | elapsed 18.9s
